timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530123887052,1104,HTTP Request,200,OK,Thread Group 1-3,text,true,,140,208,49,49,1104,0,22
1530123887963,194,HTTP Request,200,OK,Thread Group 1-23,text,true,,140,208,49,49,194,0,0
1530123887124,1038,HTTP Request,200,OK,Thread Group 1-35,text,true,,140,208,49,49,1038,0,16
1530123887964,198,HTTP Request,200,OK,Thread Group 1-40,text,true,,140,208,49,49,198,0,0
1530123887933,238,HTTP Request,200,OK,Thread Group 1-18,text,true,,140,208,49,49,238,0,17
1530123887126,1072,HTTP Request,200,OK,Thread Group 1-24,text,true,,140,208,49,49,1072,0,0
1530123887956,243,HTTP Request,200,OK,Thread Group 1-37,text,true,,140,208,49,49,243,0,0
1530123887865,334,HTTP Request,200,OK,Thread Group 1-15,text,true,,140,208,49,49,334,0,24
1530123887969,230,HTTP Request,200,OK,Thread Group 1-28,text,true,,140,208,49,49,230,0,0
1530123887932,268,HTTP Request,200,OK,Thread Group 1-46,text,true,,140,208,49,49,268,0,20
1530123887859,341,HTTP Request,200,OK,Thread Group 1-45,text,true,,140,208,49,49,341,0,21
1530123887892,310,HTTP Request,200,OK,Thread Group 1-13,text,true,,140,208,49,49,310,0,0
1530123887917,285,HTTP Request,200,OK,Thread Group 1-21,text,true,,140,208,49,49,285,0,0
1530123887913,291,HTTP Request,200,OK,Thread Group 1-30,text,true,,140,208,49,49,291,0,0
1530123887990,216,HTTP Request,200,OK,Thread Group 1-25,text,true,,140,208,49,49,216,0,0
1530123887896,312,HTTP Request,200,OK,Thread Group 1-7,text,true,,140,208,49,49,312,0,0
1530123887969,241,HTTP Request,200,OK,Thread Group 1-27,text,true,,140,208,49,49,241,0,0
1530123887894,325,HTTP Request,200,OK,Thread Group 1-36,text,true,,140,208,49,49,325,0,0
1530123887890,329,HTTP Request,200,OK,Thread Group 1-31,text,true,,140,208,49,49,329,0,0
1530123887913,325,HTTP Request,200,OK,Thread Group 1-34,text,true,,140,208,50,50,325,0,0
1530123887881,361,HTTP Request,200,OK,Thread Group 1-42,text,true,,140,208,50,50,361,0,0
1530123887934,367,HTTP Request,200,OK,Thread Group 1-17,text,true,,140,208,51,51,367,0,0
1530123887890,411,HTTP Request,200,OK,Thread Group 1-8,text,true,,140,208,51,51,411,0,0
1530123888122,179,HTTP Request,200,OK,Thread Group 1-22,text,true,,140,208,51,51,179,0,0
1530123888156,145,HTTP Request,200,OK,Thread Group 1-3,text,true,,140,208,51,51,145,0,0
1530123887942,359,HTTP Request,200,OK,Thread Group 1-33,text,true,,140,208,51,51,359,0,0
